method,population,record_id,load_nm,fault_turns,records_blocks,spearman_block_score,naive_p_value
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt1zu_load_15nm,15,1,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt1zu_load_20nm,20,1,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt1zu_load_25nm,25,1,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt1zu_load_30nm,30,1,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt1zu_load_35nm,35,1,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt1zu_load_5nm,5,1,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt2zv_load_0nm,0,2,8,0.9761904761904763,3.314396026200098e-05
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt2zv_load_10nm,10,2,8,0.9761904761904763,3.314396026200098e-05
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt2zv_load_15nm,15,2,8,0.9285714285714287,0.0008629681828999767
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt2zv_load_20nm,20,2,8,0.9285714285714287,0.0008629681828999767
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt2zv_load_25nm,25,2,8,0.9285714285714287,0.0008629681828999767
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt2zv_load_30nm,30,2,8,0.8571428571428572,0.0065300172547152905
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt2zv_load_35nm,35,2,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt2zv_load_5nm,5,2,8,0.9761904761904763,3.314396026200098e-05
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt3zu_load_0nm,0,3,8,0.9761904761904763,3.314396026200098e-05
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt3zu_load_10nm,10,3,8,0.9285714285714287,0.0008629681828999767
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt3zu_load_15nm,15,3,8,0.9047619047619048,0.002008275505429469
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt3zu_load_20nm,20,3,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt3zu_load_25nm,25,3,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt3zu_load_30nm,30,3,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt3zu_load_35nm,35,3,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt3zu_load_5nm,5,3,8,0.9761904761904763,3.314396026200098e-05
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt4zv_load_0nm,0,4,8,0.8571428571428572,0.0065300172547152905
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt4zv_load_10nm,10,4,8,0.9761904761904763,3.314396026200098e-05
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt4zv_load_15nm,15,4,8,0.9761904761904763,3.314396026200098e-05
