method,population,block_id,external_motor_count,records,blocks,alarms,alarm_rate,score_mean,score_std,score_min,score_q25,score_median,score_q75,score_max
source_covariance,fault,1,1,48,48,0,0.0,1492.9860013097823,985.4172094752247,717.5316772905055,1106.7263266653185,1145.9884328310995,1237.1911204669796,5183.211775171274
source_covariance,fault,2,1,48,48,0,0.0,2794.073193016313,2388.5319567762926,1338.6936392908112,1521.727557057841,1830.0812488913039,2515.8254895485215,11422.958907563489
source_covariance,fault,3,1,48,48,0,0.0,6961.243724602275,5053.860178453293,4056.523739964624,4453.810813283256,4987.357974332979,6414.450673868256,28307.479026287165
source_covariance,fault,4,1,48,48,0,0.0,16461.86628344291,8859.408881136747,11235.273861185786,12304.38162878976,13070.380265011461,15747.719464346756,51468.09836381522
source_covariance,fault,5,1,48,48,0,0.0,32925.70536715078,12280.627354476976,25055.450117611865,26639.5505002927,28679.590164701272,32627.870204358667,78849.95573514226
source_covariance,fault,6,1,48,48,1,0.020833333333333332,64323.08765224566,12244.567869464105,54514.75602854716,56693.88692281714,60044.3428468455,65219.17306498061,112003.11446791298
source_covariance,fault,7,1,48,48,48,1.0,124088.99669600511,12432.708432646694,110140.400396692,115734.90884586087,120185.48617433003,127926.726587729,161901.08488325874
source_covariance,healthy_all,0,1,8,8,0,0.0,2394.4305469234127,313.1373260608004,2207.174009653947,2271.0297073010843,2288.6030156295965,2333.349729806575,3162.8131070423265
source_covariance,healthy_all,1,1,8,8,0,0.0,2547.993649068469,4212.039206426376,969.3520319230774,1053.5714857597152,1079.9603355169133,1097.0608971276702,12971.623990143646
source_covariance,healthy_all,2,1,8,8,0,0.0,2305.9569768198894,2596.8730273152473,1299.239137166686,1366.0157671410343,1402.7885733076264,1436.8457102934005,8731.58227284525
source_covariance,healthy_all,3,1,8,8,0,0.0,4385.0990145098285,1038.9927019930456,3866.224875794729,4025.694633451433,4048.466291800425,4063.3872235143017,6951.374411093641
source_covariance,healthy_all,4,1,8,8,0,0.0,11325.870623501294,493.89416580569497,11031.84014277815,11146.871600782539,11177.846221016616,11200.71360368746,12539.99211736284
source_covariance,healthy_all,5,1,8,8,0,0.0,26237.806353114705,3674.6706773150527,24815.157444235945,24943.084911440208,24966.51544961746,24983.309502223863,35331.03243498127
source_covariance,healthy_all,6,1,8,8,0,0.0,54230.95950268966,67.0755003066983,54107.959556449234,54191.11425136115,54250.51644456983,54287.2731450628,54291.5078090103
source_covariance,healthy_all,7,1,8,8,1,0.125,109154.18062417003,68.93079108313279,109028.61854678034,109124.40283938781,109174.69494922081,109205.64772324954,109222.24447019458
source_covariance,healthy_test,0,1,4,4,0,0.0,2277.5262218380553,54.283693928475344,2207.174009653947,2256.4165362217436,2282.4698023685733,2303.579487984885,2337.991272961127
source_covariance,healthy_test,1,1,4,4,0,0.0,1053.1223406386218,56.77135950249931,969.3520319230774,1042.9927662370521,1075.4692461276418,1085.5988205292115,1092.198838376126
source_covariance,healthy_test,2,1,4,4,0,0.0,1388.0058408933346,71.55650092203129,1299.239137166686,1355.8968404001766,1390.6680692538735,1422.777069747031,1471.4480878989052
source_covariance,healthy_test,3,1,4,4,0,0.0,4002.094431388246,91.27820041658175,3866.224875794729,3991.8425103556465,4040.4171569153877,4050.6690779479873,4061.31853592748
source_covariance,healthy_test,4,1,4,4,0,0.0,11144.9865539034,77.58449791318615,11031.84014277815,11125.88377218826,11174.943727735905,11194.046509451044,11198.218617363636
source_covariance,healthy_test,5,1,4,4,0,0.0,24933.322992402598,79.56041718129075,24815.157444235945,24922.86794456671,24966.051797367112,24976.506845203,24986.030930640223
source_covariance,healthy_test,6,1,4,4,0,0.0,54228.5118599476,85.86510843896752,54107.959556449234,54196.47429480918,54257.29003716543,54289.32760230385,54291.5078090103
source_covariance,healthy_test,7,1,4,4,1,0.25,109167.4667098863,64.30479964278449,109077.4093705641,109144.43377375057,109185.10649939327,109208.13943552901,109222.24447019458
