method,alpha,threshold,calibration_records,calibration_blocks,health_test_records,health_test_blocks,false_alarms,healthy_block_false_alarm_rate,descriptive_wilson_lower,descriptive_wilson_upper,max_heldout_load_false_alarm_rate,h1_empirical_pass,faults_available,fault_records,fault_blocks,fault_block_detection_rate,fault_record_macro_detection_rate,record_bootstrap_detection_ci_lower,record_bootstrap_detection_ci_upper,fault_record_any_alarm_rate,block_auroc,block_auprc,seed,training_scope,estimator_kind,fit_warning_count,max_covariance_condition_number,post_reveal_robustness_only
target_min_cov_det,0.05,1238.096170587123,3,24,4,32,0,0.0,0.0,0.10717919825507058,0.0,True,True,48,384,0.7005208333333334,0.7005208333333334,0.6536458333333334,0.7526041666666666,1.0,0.9267578125,0.9934386236113,20260820,target,min_cov_det,0,14097.740611257525,True
target_min_cov_det,0.05,934.1730859898199,3,24,4,32,2,0.0625,0.01731056703164098,0.20147123144154577,0.125,False,True,48,384,0.7630208333333334,0.7630208333333334,0.7239583333333334,0.8072916666666666,1.0,0.9237467447916666,0.9932552168189243,1201,target,min_cov_det,0,11464.697943912022,True
target_min_cov_det,0.05,1257.7235963143394,3,24,4,32,0,0.0,0.0,0.10717919825507058,0.0,True,True,48,384,0.6822916666666666,0.6822916666666666,0.6380208333333334,0.7317708333333334,1.0,0.9352213541666666,0.9942129040698333,2402,target,min_cov_det,0,11755.979707154504,True
target_min_cov_det,0.05,1028.608799508215,3,24,4,32,1,0.03125,0.005537860164003122,0.15744263820012555,0.125,False,True,48,384,0.7708333333333334,0.7708333333333334,0.7291666666666666,0.8177083333333334,1.0,0.9352213541666666,0.994275610206695,3603,target,min_cov_det,0,23090.187701860224,True
target_min_cov_det,0.05,1396.2563552820322,3,24,4,32,0,0.0,0.0,0.10717919825507058,0.0,True,True,48,384,0.6536458333333334,0.6536458333333334,0.6015625,0.7109375,1.0,0.921875,0.9928792833986319,4804,target,min_cov_det,0,13107.884098803046,True
source_target_min_cov_det,0.05,9802.524118036708,3,24,4,32,1,0.03125,0.005537860164003122,0.15744263820012555,0.125,False,True,48,384,0.3020833333333333,0.3020833333333333,0.2604166666666667,0.3489583333333333,1.0,0.7012532552083334,0.9665885833143883,20260820,source_target_balanced,min_cov_det,0,1183.506668097559,True
source_target_min_cov_det,0.05,9026.729856908227,3,24,4,32,1,0.03125,0.005537860164003122,0.15744263820012555,0.125,False,True,48,384,0.3203125,0.3203125,0.2760416666666667,0.3697916666666667,1.0,0.705322265625,0.9679346727782075,1201,source_target_balanced,min_cov_det,0,1143.7472845776495,True
source_target_min_cov_det,0.05,8950.638234860253,3,24,4,32,1,0.03125,0.005537860164003122,0.15744263820012555,0.125,False,True,48,384,0.3203125,0.3203125,0.2786458333333333,0.3671875,1.0,0.72412109375,0.9696710534480693,2402,source_target_balanced,min_cov_det,0,1117.937930970472,True
source_target_min_cov_det,0.05,8857.359329237519,3,24,4,32,1,0.03125,0.005537860164003122,0.15744263820012555,0.125,False,True,48,384,0.3385416666666667,0.3385416666666667,0.2942708333333333,0.3880208333333333,1.0,0.7320149739583334,0.9708893855477547,3603,source_target_balanced,min_cov_det,0,1259.3173487551187,True
source_target_min_cov_det,0.05,9116.667257999532,3,24,4,32,1,0.03125,0.005537860164003122,0.15744263820012555,0.125,False,True,48,384,0.3020833333333333,0.3020833333333333,0.2578125,0.3515625,1.0,0.6795247395833334,0.9647057788346896,4804,source_target_balanced,min_cov_det,0,1040.7969452547459,True
