feature,feature_family,population,independent_motors,record_subsystem_block_units,spearman_raw_vs_speed_proxy,spearman_robust_z_vs_speed_proxy,speed_proxy,inferential_p_value_claimed
harmonic_3_ratio_mean,harmonic_sideband,healthy_adaptation,1,8,-0.6831300510639734,-0.6831300510639734,fundamental_hz (electrical-frequency proxy),False
harmonic_3_ratio_mean,harmonic_sideband,healthy_all,1,128,-0.20152501905724637,-0.16363390879560144,fundamental_hz (electrical-frequency proxy),False
harmonic_3_ratio_mean,harmonic_sideband,healthy_calibration,1,48,-0.2595638730602444,-0.1860426245040388,fundamental_hz (electrical-frequency proxy),False
harmonic_3_ratio_mean,harmonic_sideband,healthy_health_test,1,64,-0.2249607734357526,-0.18491757144565243,fundamental_hz (electrical-frequency proxy),False
harmonic_3_ratio_mean,harmonic_sideband,healthy_unused,1,8,0.8001322641986388,0.8001322641986388,fundamental_hz (electrical-frequency proxy),False
harmonic_4_ratio_max,harmonic_sideband,fault,1,768,-0.32965272373836124,-0.2833261805547269,fundamental_hz (electrical-frequency proxy),False
harmonic_4_ratio_max,harmonic_sideband,healthy_adaptation,1,8,0.29277002188455997,-0.048795003647426664,fundamental_hz (electrical-frequency proxy),False
harmonic_4_ratio_max,harmonic_sideband,healthy_all,1,128,-0.34925518924838145,-0.2788403726382647,fundamental_hz (electrical-frequency proxy),False
harmonic_4_ratio_max,harmonic_sideband,healthy_calibration,1,48,-0.5059092155479764,-0.41294252532311604,fundamental_hz (electrical-frequency proxy),False
harmonic_4_ratio_max,harmonic_sideband,healthy_health_test,1,64,-0.40577725745088844,-0.31338759117913834,fundamental_hz (electrical-frequency proxy),False
harmonic_4_ratio_max,harmonic_sideband,healthy_unused,1,8,0.7516393997017515,0.8122554803228605,fundamental_hz (electrical-frequency proxy),False
harmonic_4_ratio_mean,harmonic_sideband,fault,1,768,-0.34757762086079735,-0.3426472544716732,fundamental_hz (electrical-frequency proxy),False
harmonic_4_ratio_mean,harmonic_sideband,healthy_adaptation,1,8,0.09759000729485333,0.09759000729485333,fundamental_hz (electrical-frequency proxy),False
harmonic_4_ratio_mean,harmonic_sideband,healthy_all,1,128,-0.36435640604589425,-0.35608381566310443,fundamental_hz (electrical-frequency proxy),False
harmonic_4_ratio_mean,harmonic_sideband,healthy_calibration,1,48,-0.5011024771579718,-0.5018671855381999,fundamental_hz (electrical-frequency proxy),False
harmonic_4_ratio_mean,harmonic_sideband,healthy_health_test,1,64,-0.43264168410247467,-0.4246699074116952,fundamental_hz (electrical-frequency proxy),False
