scope,feature,feature_family,block_id,block_label,independent_motors,healthy_units,fault_units,matched_fault_health_pairs,healthy_raw_mean,fault_raw_mean,raw_hedges_g_fault_minus_health,raw_single_feature_auc_fault_higher,raw_direction_free_auc,matched_raw_difference_mean,matched_raw_difference_median,matched_raw_dz,robust_z_hedges_g_fault_minus_health,robust_z_single_feature_auc_fault_higher,robust_z_direction_free_auc,matched_robust_z_dz,auroc_inferential_claimed
all_matched_loads,crest_c,current_shape,4,4,1,16,96,96,2.0982642281331194,1.7570219760247034,-0.5532425298950161,0.4049479166666667,0.5950520833333333,-0.3412422521084162,-0.05028548096369223,-0.43669547150762944,-0.5441556191095133,0.40494791666666663,0.5950520833333334,-0.42757971913726833,False
all_matched_loads,crest_c,current_shape,5,5,1,16,96,96,2.1303001900040948,1.808503384250459,-0.485832371543482,0.4388020833333333,0.5611979166666667,-0.3217968057536356,-0.030351209107973842,-0.42448125995514446,-0.4769516475359481,0.4388020833333333,0.5611979166666667,-0.42408108900901853,False
all_matched_loads,crest_c,current_shape,6,6,1,16,96,96,2.150295867486349,1.8344587073499528,-0.45859679402893344,0.44335937499999994,0.556640625,-0.315837160136396,-0.03428171321932483,-0.40836354014535176,-0.4567236072610549,0.4485677083333333,0.5514322916666667,-0.41418832809075845,False
all_matched_loads,crest_c,current_shape,7,7,1,16,96,96,2.0461941136788404,1.8556013373789897,-0.303316804278539,0.41796875,0.58203125,-0.19059277629985083,-0.04248185288523054,-0.4443114128871744,-0.3125625390654645,0.41796875,0.58203125,-0.43790981123662026,False
all_matched_loads,fundamental_amplitude_cv,current_shape,-1,all_blocks,1,128,768,768,0.01639708977962873,0.059090524779454194,0.6122102053229391,0.7372029622395834,0.7372029622395834,0.042693434999825454,0.0157426858729474,0.5882246793181989,0.6254708237326797,0.7609761555989584,0.7609761555989584,0.608877046467787,False
all_matched_loads,fundamental_amplitude_cv,current_shape,0,0,1,16,96,96,0.00923372173623738,0.016016838866587436,0.487634281292377,0.7545572916666667,0.7545572916666667,0.006783117130350052,0.0020621620252624,0.6032370494909927,0.5305394639186451,0.763671875,0.763671875,0.6508913526735379,False
all_matched_loads,fundamental_amplitude_cv,current_shape,1,1,1,16,96,96,0.009559177442405788,0.023438501099396575,0.667053162980802,0.791015625,0.791015625,0.013879323656990785,0.0047669008485722465,0.722589723245671,0.6887675892005575,0.8203125,0.8203125,0.7432127546957195,False
all_matched_loads,fundamental_amplitude_cv,current_shape,2,2,1,16,96,96,0.008709726359469086,0.03374886851466407,0.7775182427210886,0.8079427083333334,0.8079427083333334,0.025039142155194986,0.010267662907715651,0.7611990307622146,0.7738129068103198,0.841796875,0.841796875,0.7508126941014508,False
all_matched_loads,fundamental_amplitude_cv,current_shape,3,3,1,16,96,96,0.010752735082943422,0.04683765439773652,0.7508566804923369,0.7936197916666667,0.7936197916666667,0.036084919314793094,0.014297709872631056,0.7166297272466338,0.7496547129908291,0.8242187500000001,0.8242187500000001,0.7176208271733326,False
all_matched_loads,fundamental_amplitude_cv,current_shape,4,4,1,16,96,96,0.015116326763517478,0.06264147437386798,0.7182396964828978,0.7786458333333334,0.7786458333333334,0.0475251476103505,0.01644909322500257,0.6817427678383554,0.7233846530141058,0.8131510416666667,0.8131510416666667,0.6979582490844999,False
all_matched_loads,fundamental_amplitude_cv,current_shape,5,5,1,16,96,96,0.020475389566720847,0.07992641224989024,0.7251822338829617,0.7532552083333334,0.7532552083333334,0.059451022683169395,0.023352103581728755,0.6735461609495185,0.7372909795826394,0.787109375,0.787109375,0.7054464828523349,False
all_matched_loads,fundamental_amplitude_cv,current_shape,6,6,1,16,96,96,0.025655764501265922,0.09628344931809563,0.7844931729282328,0.7552083333333333,0.7552083333333333,0.0706276848168297,0.02994565208178867,0.7443602653048998,0.7919384511222609,0.7675781250000001,0.7675781250000001,0.7768906860256477,False
all_matched_loads,fundamental_amplitude_cv,current_shape,7,7,1,16,96,96,0.031673876784469916,0.11383099941539508,0.865527600492601,0.7526041666666667,0.7526041666666667,0.08215712263092517,0.039128377148888574,0.7630077114772497,0.8808370574741153,0.7617187499999999,0.7617187499999999,0.8132497151656162,False
all_matched_loads,fundamental_hz,speed_proxy,-1,all_blocks,1,128,768,768,162.0182291670443,162.11458333371118,0.0008642826323395885,0.50775146484375,0.50775146484375,0.09635416666688983,0.0,0.24052113417528226,0.0008642826323395191,0.50775146484375,0.50775146484375,0.24052113417528576,False
