record_id,load_nm,subsystem,block_id,window_id,is_healthy,fault_turns,fault_phase,role,row_index,window_score,frozen_system_score,contribution_sum,contribution_sum_error,frozen_score_error,alarm,p_value,external_motor_id
external_dual_three_phase_flt0z_load_35nm,35.0,SubSys2,1,15,True,0,,health_test,1815,412.1950529334049,412.1950529334049,412.1950529334033,-1.5916157281026244e-12,0.0,False,0.84,external_dual_three_phase
external_dual_three_phase_flt0z_load_35nm,35.0,SubSys2,2,39,True,0,,health_test,1839,406.78183814802367,406.78183814802367,406.78183814802344,-2.2737367544323206e-13,0.0,False,0.84,external_dual_three_phase
external_dual_three_phase_flt0z_load_35nm,35.0,SubSys2,3,59,True,0,,health_test,1859,527.7256932440163,527.7256932440163,527.7256932440157,-5.684341886080801e-13,0.0,False,0.68,external_dual_three_phase
external_dual_three_phase_flt0z_load_35nm,35.0,SubSys2,4,74,True,0,,health_test,1874,846.970936526834,846.970936526834,846.9709365268337,-2.2737367544323206e-13,0.0,False,0.4,external_dual_three_phase
external_dual_three_phase_flt0z_load_35nm,35.0,SubSys2,5,89,True,0,,health_test,1889,1424.923197762865,1424.923197762865,1424.9231977628651,2.2737367544323206e-13,0.0,False,0.28,external_dual_three_phase
external_dual_three_phase_flt0z_load_35nm,35.0,SubSys2,6,104,True,0,,health_test,1904,2668.1415604935437,2668.141560493544,2668.1415604935505,6.821210263296962e-12,-4.547473508864641e-13,False,0.16,external_dual_three_phase
external_dual_three_phase_flt0z_load_35nm,35.0,SubSys2,7,119,True,0,,health_test,1919,4994.307956652005,4994.307956652005,4994.307956651999,-5.4569682106375694e-12,0.0,True,0.04,external_dual_three_phase
external_dual_three_phase_flt0z_load_5nm,5.0,SubSys2,0,2,True,0,,health_test,362,570.3895168027893,570.3895168027893,570.3895168027898,4.547473508864641e-13,0.0,False,0.64,external_dual_three_phase
external_dual_three_phase_flt0z_load_5nm,5.0,SubSys2,1,16,True,0,,health_test,376,344.41961469226027,344.41961469226027,344.4196146922601,-1.7053025658242404e-13,0.0,False,1.0,external_dual_three_phase
external_dual_three_phase_flt0z_load_5nm,5.0,SubSys2,2,40,True,0,,health_test,400,318.86532926742814,318.86532926742814,318.86532926742865,5.115907697472721e-13,0.0,False,1.0,external_dual_three_phase
external_dual_three_phase_flt0z_load_5nm,5.0,SubSys2,3,59,True,0,,health_test,419,418.50252129781734,418.5025212978173,418.5025212978176,2.8421709430404007e-13,5.684341886080802e-14,False,0.76,external_dual_three_phase
external_dual_three_phase_flt0z_load_5nm,5.0,SubSys2,4,74,True,0,,health_test,434,707.001018866195,707.001018866195,707.0010188661942,-7.958078640513122e-13,0.0,False,0.52,external_dual_three_phase
external_dual_three_phase_flt0z_load_5nm,5.0,SubSys1,5,89,True,0,,health_test,329,1268.9557292234788,1268.9557292234788,1268.9557292234772,-1.5916157281026244e-12,0.0,False,0.4,external_dual_three_phase
external_dual_three_phase_flt0z_load_5nm,5.0,SubSys1,6,104,True,0,,health_test,344,2526.0415110432623,2526.0415110432623,2526.041511043263,9.094947017729282e-13,0.0,False,0.28,external_dual_three_phase
external_dual_three_phase_flt0z_load_5nm,5.0,SubSys1,7,119,True,0,,health_test,359,4894.410511638512,4894.410511638512,4894.410511638508,-3.637978807091713e-12,0.0,False,0.16,external_dual_three_phase
external_dual_three_phase_flt1zu_load_0nm,0.0,SubSys2,0,0,False,1,u,fault_test,2040,627.9837846196988,627.9837846196988,627.9837846196988,0.0,0.0,False,0.56,external_dual_three_phase
external_dual_three_phase_flt1zu_load_0nm,0.0,SubSys2,1,15,False,1,u,fault_test,2055,527.091140496657,527.091140496657,527.0911404966569,-1.1368683772161603e-13,0.0,False,0.68,external_dual_three_phase
external_dual_three_phase_flt1zu_load_0nm,0.0,SubSys1,2,41,False,1,u,fault_test,1961,492.33007018710765,492.3300701871077,492.3300701871077,5.684341886080802e-14,-5.684341886080802e-14,False,0.72,external_dual_three_phase
external_dual_three_phase_flt1zu_load_0nm,0.0,SubSys1,3,56,False,1,u,fault_test,1976,538.8522913794234,538.8522913794234,538.8522913794228,-5.684341886080801e-13,0.0,False,0.64,external_dual_three_phase
external_dual_three_phase_flt1zu_load_0nm,0.0,SubSys2,4,71,False,1,u,fault_test,2111,1512.7971635778767,1512.7971635778767,1512.7971635778756,-1.1368683772161603e-12,0.0,False,0.28,external_dual_three_phase
external_dual_three_phase_flt1zu_load_0nm,0.0,SubSys2,5,86,False,1,u,fault_test,2126,4309.986688755235,4309.986688755235,4309.986688755233,-1.8189894035458565e-12,0.0,False,0.16,external_dual_three_phase
external_dual_three_phase_flt1zu_load_0nm,0.0,SubSys2,6,101,False,1,u,fault_test,2141,8412.35921221283,8412.35921221283,8412.359212212848,1.8189894035458565e-11,0.0,True,0.04,external_dual_three_phase
external_dual_three_phase_flt1zu_load_0nm,0.0,SubSys2,7,116,False,1,u,fault_test,2156,14071.603798727187,14071.603798727188,14071.603798727197,1.0913936421275139e-11,-1.8189894035458565e-12,True,0.04,external_dual_three_phase
external_dual_three_phase_flt1zu_load_10nm,10.0,SubSys2,0,0,False,1,u,fault_test,2520,600.6247484613727,600.6247484613727,600.624748461373,2.2737367544323206e-13,0.0,False,0.64,external_dual_three_phase
external_dual_three_phase_flt1zu_load_10nm,10.0,SubSys2,1,17,False,1,u,fault_test,2537,398.9734183302421,398.9734183302421,398.97341833024166,-4.547473508864641e-13,0.0,False,0.92,external_dual_three_phase
external_dual_three_phase_flt1zu_load_10nm,10.0,SubSys2,2,31,False,1,u,fault_test,2551,340.8805724286213,340.8805724286213,340.88057242862135,5.684341886080802e-14,0.0,False,1.0,external_dual_three_phase
external_dual_three_phase_flt1zu_load_10nm,10.0,SubSys1,3,59,False,1,u,fault_test,2459,455.64727524528934,455.6472752452893,455.6472752452893,-5.684341886080802e-14,5.684341886080802e-14,False,0.76,external_dual_three_phase
external_dual_three_phase_flt1zu_load_10nm,10.0,SubSys1,4,74,False,1,u,fault_test,2474,785.3676318826438,785.3676318826438,785.367631882642,-1.8189894035458565e-12,0.0,False,0.48,external_dual_three_phase
external_dual_three_phase_flt1zu_load_10nm,10.0,SubSys2,5,89,False,1,u,fault_test,2609,1624.89484544852,1624.89484544852,1624.8948454485233,3.183231456205249e-12,0.0,False,0.28,external_dual_three_phase
external_dual_three_phase_flt1zu_load_10nm,10.0,SubSys2,6,104,False,1,u,fault_test,2624,3458.8101586774765,3458.8101586774765,3458.81015867748,3.637978807091713e-12,0.0,False,0.16,external_dual_three_phase
external_dual_three_phase_flt1zu_load_10nm,10.0,SubSys2,7,119,False,1,u,fault_test,2639,7193.085065439625,7193.085065439625,7193.085065439627,1.8189894035458565e-12,0.0,True,0.04,external_dual_three_phase
external_dual_three_phase_flt1zu_load_15nm,15.0,SubSys2,0,2,False,1,u,fault_test,2762,633.955341145676,633.955341145676,633.9553411456764,3.410605131648481e-13,0.0,False,0.56,external_dual_three_phase
external_dual_three_phase_flt1zu_load_15nm,15.0,SubSys2,1,16,False,1,u,fault_test,2776,401.4100762830245,401.4100762830245,401.4100762830248,2.8421709430404007e-13,0.0,False,0.88,external_dual_three_phase
external_dual_three_phase_flt1zu_load_15nm,15.0,SubSys2,2,35,False,1,u,fault_test,2795,361.44892482320137,361.44892482320137,361.44892482320137,0.0,0.0,False,1.0,external_dual_three_phase
