subset,feature,windows,native_median,polyphase_10khz_median,median_signed_delta,median_absolute_delta,native_iqr,median_absolute_delta_per_native_iqr,root_mean_squared_delta,pearson_correlation,spearman_correlation
all_source_windows,rms_ratio_a,27000,0.9221604130121592,0.9172453115926784,-0.005652573493157564,0.0056566745250367645,0.06189816767779277,0.09138678473460228,0.01470490027645407,0.9646548282314509,0.9647466405131412
all_source_windows,crest_a,27000,6.541029813258497,1.9686652768380357,-4.596919521122466,4.596919521122466,1.9788559541385062,2.323018768247703,5.657412611980599,0.8695163880788657,0.8066390027282045
all_source_windows,kurtosis_a,27000,3.205480227087911,1.5639016986689205,-1.6493637023493455,1.6493637023493455,2.7198203883257026,0.6064237585058619,10.32699070300589,0.8979513254546785,0.675500722924479
all_source_windows,rms_ratio_b,27000,1.0236957363652301,1.035842304945798,0.004696115146470503,0.0046970688925207504,0.03543313012377647,0.13256150038432268,0.02085734224730822,0.8116886960085089,0.8266271010613693
all_source_windows,crest_b,27000,6.361167856535552,2.04776219737026,-4.363220980850038,4.363220980850038,1.8741241310338905,2.328138733501605,5.197725916186993,0.8133971655903379,0.6272828353637472
all_source_windows,kurtosis_b,27000,2.8667005410610384,1.551206439036384,-1.3317775006794812,1.3317775006794812,2.160460187253067,0.6164323270278725,7.2496019731288825,0.9123646170648433,0.5567084693916134
all_source_windows,rms_ratio_c,27000,1.058673171787051,1.0589141528906936,0.0004590287285666239,0.0020342265434241114,0.03509849235619744,0.05795766162203608,0.009901558667807184,0.9558816324105498,0.969685060120586
all_source_windows,crest_c,27000,6.6234079625308,2.0382669725747036,-4.596206446199285,4.596206446199285,1.9414788127591613,2.3673739914098357,5.549789089403006,0.8465115229369907,0.8012003033127271
all_source_windows,kurtosis_c,27000,3.0901363775831343,1.5654181976096688,-1.530026969622261,1.530026969622261,2.4808963050083035,0.6167234666493407,8.829394893449818,0.9458183886355885,0.8015578152729796
healthy_source_windows,fundamental_hz,1800,200.00000000000057,200.0,-5.684341886080801e-13,5.684341886080801e-13,0.0,,5.684341886080801e-13,,
healthy_source_windows,sequence_unbalance,1800,0.6484222760050873,0.6484255785204681,-7.146436868908645e-07,2.4173380755443397e-06,0.6318006368572738,3.826108956725261e-06,4.499949021335142e-06,0.9999999998857161,0.9999994197529073
healthy_source_windows,fundamental_amplitude_cv,1800,0.09077719672815221,0.0907781318428415,-4.697788636986999e-07,1.8219633646510136e-06,0.08270654242277418,2.2029253203907547e-05,3.048214259631923e-06,0.9999999969720885,0.9999993991767694
